Height,Velocity,Power
400000,0,0.002314814814815
399999.458457549,-2.16616980552309,0.002314814814815
399998.375372559,-4.3323399587025,0.002314814814815
399996.750744857,-6.49851080719484,0.002314814814815
399994.584574182,-8.66468269865735,0.002314814814815
399991.876860187,-10.8308559807482,0.002314814814815
399988.627602437,-12.9970310011267,0.002314814814815
399984.83680041,-15.1632081074539,0.002314814814815
399980.504453498,-17.3293876473923,0.002314814814815
399975.630561006,-19.4955699686071,0.002314814814815
399970.215122151,-21.6617554187653,0.002314814814815
399964.258136065,-23.8279443455373,0.002314814814815
399957.759601791,-25.994137096596,0.002314814814815
399950.719518286,-28.160334019618,0.002314814814815
399943.13788442,-30.3265354622836,0.002314814814815
399935.014698977,-32.4927417722768,0.002314814814815
399926.349960653,-34.6589532972861,0.002314814814815
399917.143668057,-36.8251703850046,0.002314814814815
399907.395819711,-38.9913933831302,0.002314814814815
399897.106414051,-41.157622639366,0.002314814814815
399886.275449426,-43.3238585014208,0.002314814814815
399874.902924097,-45.4901013170089,0.002314814814815
399862.988836238,-47.6563514338509,0.002314814814815
399850.533183938,-49.822609199674,0.002314814814815
399837.535965198,-51.9888749622117,0.002314814814815
399823.99717793,-54.155149069205,0.002314814814815
399809.916819963,-56.3214318684019,0.002314814814815
399795.294889036,-58.4877237075583,0.002314814814815
399780.131382803,-60.6540249344378,0.002314814814815
399764.426298829,-62.8203358968126,0.002314814814815
399748.179634593,-64.9866569424632,0.002314814814815
399731.391387488,-67.152988419179,0.002314814814815
399714.061554819,-69.3193306747588,0.002314814814815
399696.190133805,-71.4856840570106,0.002314814814815
399677.777121577,-73.6520489137524,0.002314814814815
399658.822515179,-75.8184255928123,0.002314814814815
399639.326311568,-77.9848144420286,0.002314814814815
399619.288507616,-80.1512158092506,0.002314814814815
399598.709100105,-82.3176300423384,0.002314814814815
399577.588085733,-84.4840574891636,0.002314814814815
399555.925461109,-86.6504984976093,0.002314814814815
399533.721222755,-88.8169534155707,0.002314814814815
399510.975367107,-90.9834225909549,0.002314814814815
399487.687890514,-93.1499063716821,0.002314814814815
399463.858789238,-95.3164051056849,0.002314814814815
399439.488059452,-97.4829191409092,0.002314814814815
399414.575697246,-99.6494488253145,0.002314814814815
399389.121698619,-101.815994506874,0.002314814814815
399363.126059486,-103.982556533575,0.002314814814815
399336.588775673,-106.149135253419,0.002314814814815
399309.509842919,-108.315731014422,0.002314814814815
399281.889256878,-110.482344164616,0.002314814814815
399253.727013115,-112.648975052048,0.002314814814815
399225.023107109,-114.81562402478,0.002314814814815
399195.777534251,-116.98229143089,0.002314814814815
399165.990289846,-119.148977618472,0.002314814814815
399135.661369112,-121.315682935639,0.002314814814815
399104.79076718,-123.482407730516,0.002314814814815
399073.378479092,-125.649152351251,0.002314814814815
399041.424499806,-127.815917146004,0.002314814814815
399008.92882419,-129.982702462957,0.002314814814815
398975.891447027,-132.149508650307,0.002314814814815
398942.312363013,-134.316336056272,0.002314814814815
398908.191566756,-136.483185029087,0.002314814814815
398873.529052777,-138.650055917006,0.002314814814815
398838.32481551,-140.816949068303,0.002314814814815
398802.578849302,-142.983864831271,0.002314814814815
398766.291148413,-145.150803554225,0.002314814814815
398729.461707017,-147.317765585496,0.002314814814815
398692.090519198,-149.48475127344,0.002314814814815
398654.177578957,-151.651760966431,0.002314814814815
398615.722880204,-153.818795012865,0.002314814814815
398576.726416763,-155.98585376116,0.002314814814815
398537.188182373,-158.152937559755,0.002314814814815
398497.108170684,-160.320046757111,0.002314814814815
398456.486375259,-162.487181701713,0.002314814814815
398415.322789573,-164.654342742065,0.002314814814815
398373.617407016,-166.821530226699,0.002314814814815
398331.37022089,-168.988744504167,0.002314814814815
398288.58122441,-171.155985923044,0.002314814814815
398245.250410702,-173.323254831932,0.002314814814815
398201.377772807,-175.490551579455,0.002314814814815
398156.963303678,-177.657876514261,0.002314814814815
398112.006996182,-179.825229985025,0.002314814814815
398066.508843097,-181.992612340446,0.002314814814815
398020.468837115,-184.160023929249,0.002314814814815
397973.88697084,-186.327465100182,0.002314814814815
397926.763236789,-188.494936202024,0.002314814814815
397879.097627393,-190.662437583576,0.002314814814815
397830.890134995,-192.829969593669,0.002314814814815
397782.140751849,-194.997532581158,0.002314814814815
397732.849470126,-197.165126894927,0.002314814814815
397683.016281905,-199.332752883889,0.002314814814815
397632.641179181,-201.500410896981,0.002314814814815
397581.72415386,-203.668101283172,0.002314814814815
397530.265197762,-205.835824391457,0.005208333333333
397478.26656318,-207.994538325492,0.005208333333333
397425.728241761,-210.153285678248,0.008101851851852
397372.652485623,-212.303024551985,0.013888888888889
397319.043807361,-214.434713047541,0.016782407407407
397264.904458923,-216.557393753617,0.022569444444445
397210.238952731,-218.662024766751,0.03125
397155.054061686,-220.739564180605,0.039930555555556
397099.356558603,-222.790012329883,0.048611111111111
397043.153216217,-224.813369544961,0.057291666666667
396986.450807179,-226.809636151882,0.065972222222222
396929.256104061,-228.778812472363,0.074652777777778
396871.575879355,-230.720898823792,0.086226851851852
396813.419166037,-232.626853273853,0.094907407407407
396754.792736443,-234.505718375192,0.103587962962963
396695.703362835,-236.357494430752,0.112268518518518
396636.1578174,-238.182181739146,0.120949074074074
396576.162872252,-239.979780594657,0.126736111111111
396515.723038868,-241.759333532606,0.135416666666667
396454.84508922,-243.511798594697,0.141203703703704
396393.533534643,-245.246218309043,0.146990740740741
396331.792886404,-246.962592955509,0.152777777777778
396269.627655701,-248.660922811082,0.155671296296296
396207.040093102,-250.350250395241,0.158564814814815
396144.032449107,-252.030575980669,0.158564814814815
